company_name,job_link,label,city,job_name,job_description,job_requirements,additional_info,company_info,job_type
Orange,https://eg.indeed.com/cmp/Orange-2?campaignid=mobvjcmp&from=mobviewjob&tk=1hip5t9bfissp801&fromjk=cfdca939f711e652,data science,Smart Village,Supervisor,"Supervise the end-to-end Triple Play, Complexes & Smart Cities projects technical activities and backend functionalities to ensure high quality service and on time delivery","Analysis, planning and supervision of passive network Infrastructure implementation including but not limited to Racks, Routers, ODFs, Power Cables, Power Control Units, Armored cables, Fiber Cables","Site Management: Manage, support and document passive and material installation.","Purpose of the jobFollow the scheduled project plan by working with cross-functional technical teams throughout the project lifecycle; Manage and supervise the Triple Play project technical activities including DC preparation and handover, network component implementation as well as connectivity and service activationDuties and responsibilitiesSupervise the end-to-end Triple Play, Complexes & Smart Cities projects ",Full-time
00E1 - Grifols Egypt Plasma Der,https://eg.indeed.com/cmp/00e1---Grifols-Egypt-Plasma-Der?campaignid=mobvjcmp&from=mobviewjob&tk=1hip5tdbpkj9s800&fromjk=18705e9529444e3c,data science,مصر,Sales Manager ( Rare Disease ) ,Leading and coaching sales teamBusiness development targeting more business segmentsEfficient business and market analysis,"Manage the sales team, providing guidance, coaching, and performance feedback to",Implement effective sales processes and performance metrics to monitor individual and,"Would you like to join an international team working to improve the future of healthcare? Do you want to enhance the lives of millions of people? Grifols is a global healthcare company that since 1909 has been working to improve the health and well-being of people around the world. We are leaders in plasma-derived medicines and transfusion medicine and develop, produce and market innovative medicines, solutions and services in more than 110 countries and regions.Job objective :Leading and coaching sales teamBusiness development targeting more business segmentsEfficient business and market analysisEnvironment :Internal: GEPD Marketing, Sales & Medical Representatives, Demand Planning, GEPDManagementExternal: Healthcare Professionals, and Distribution teamsKey responsibility :A. Sales Management:Manage the sales team, providing guidance, coaching, and performance feedback tomaximise their potential and drive results.Implement effective sales processes and performance metrics to monitor individual andteam performance and drive continuous improvement.Collaborate closely with other internal teams such as marketing, operations, and supplychain to ensure seamless execution of sales initiatives.B. Business Development:Identify new business opportunities, target potential customers, and establish strategicpartnerships to expand the company's customer base.Develop and nurture long-term relationships with key clients, ensuring high customersatisfaction and repeated business.Lead negotiations and contract discussions with customers, ensuring favourable termsand ",Full-time
PwC,https://eg.indeed.com/cmp/Pwc?campaignid=mobvjcmp&from=mobviewjob&tk=1hip5tno8kjbr806&fromjk=9eac588d93633bdf,data science,Cairo,ETIC,"Perform analysis on various data sets using advanced data analytics techniques to identify fraud related trends, patterns, scenarios and other valuable business insightsUse SQL to perform extract, transformation and load for analysis and retrieval purposesDesign interactive and informative dashboards using data visualization tools such as Tableau and PowerBIDesign and implement data models for data integrity, quality control and validation controlsDesign, implement and tune data models using statistical analysis and machine learning to identify fraud typologies (payment fraud, identity theft and account takeover)Identify opportunities to enhance and optimize the existing process and reporting capabilities in order to improve both the speed and efficiencyCollaborate closely with clients to understand their business requirements related to fraud analysisContinuously monitor the threat landscape by producing actionable recommendations supported with data","Bachelor's or Master's degree in Computer Science, Data Science, Statistics, or a related field3 to 4 years of experience as a Data Analytics Consultant or similar roleExpertise in Power BI, Tableau, Alteryx, SQLSolid understanding in data modeling concepts and techniquesStrong analytical and problem-solving skills with the ability to translate complex data into meaningful insightsFamiliarity with other data analytics tools, programming languages, or statistical software is a plusDemonstrates clear and concise written and verbal communicationAbility to speak and understand Arabic and English fluentlyFlexibility to work shifts",,"DescriptionEstablished in the region for 40 years, PwC has around 8,000 people in 12 countries across the region: Bahrain, Egypt, Iraq, Jordan, Kuwait, Lebanon, Libya, Oman, the Palestinian territories, Qatar, Saudi Arabia and the United Arab Emirates.Our regional team operates across the Middle East bringing international experience delivered within the context of the region and its culture. We can bring the collective knowledge and experience of more than 328,000 people across the entire global PwC network in advisory, assurance and tax to help you find the value you are looking for.Line of ServiceInternal Firm ServicesIndustry/SectorTechnologySpecialismIFS - FinanceManagement LevelSenior AssociateJob Description & SummaryAt PwC, we are investing in our Execution Managed Services (EMS) business. EMS brings the best of PwC’s advisory capabilities and our operational delivery to help clients solve complex problems. Our Financial Crime team is a critical part of this growth priority area and we are looking for motivated individuals who have a desire/interest to support our clients in delivering some of their most critical operations and programmes. Our EMS team will work with cutting edge technology to provide specialist and complex services to our clients across the region.ResponsibilitiesAs an Anti-Fraud Threat Intelligence Analyst, you’ll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution. Responsibilities include but are not limited to:Perform analysis on various data sets using advanced data analytics techniques to identify fraud related trends, patterns, scenarios and other valuable business insightsUse SQL to perform extract, transformation and load for analysis and retrieval purposesDesign interactive and informative dashboards using data visualization tools such as Tableau and PowerBIDesign and implement data models for data integrity, quality control and validation controlsDesign, implement and tune data models using statistical analysis and machine learning to identify fraud typologies (payment fraud, identity theft and account takeover)Identify opportunities to enhance and optimize the existing process and reporting capabilities in order to improve both the speed and efficiencyCollaborate closely with clients to understand their business requirements related to fraud analysisContinuously monitor the threat landscape by producing actionable recommendations supported with dataRequirements:Bachelor's or Master's degree in Computer Science, Data Science, Statistics, or a related field3 to 4 years of experience as a Data Analytics Consultant or similar roleExpertise in Power BI, Tableau, Alteryx, SQLSolid understanding in data modeling concepts and techniquesStrong analytical and problem-solving skills with the ability to translate complex data into meaningful insightsFamiliarity with other data analytics tools, programming languages, or statistical software is a plusDemonstrates clear and concise written and verbal communicationAbility to speak and",Full-time
Roots Management Consultants,https://eg.indeed.com/cmp/Roots-Management-Consultants?campaignid=mobvjcmp&from=mobviewjob&tk=1hip5tsmdiemi800&fromjk=d61514f909e87bf6,data science,Cairo,Oracle Supply Chain Consultant,"Analyze, Design, and map Supply Chain processes across different applications such Oracle WMS (Logfire), Oracle OTM, Oracle Service Cloud, Oracle Field Service Cloud, Oracle Transport Management, and other systems (Finance, HCM, CRM, …).Maintain in depth understanding of different operational processes used across different systems and provide need support for business and technical team during partners(client\service providers) onboarding and normal business operationSupport in maintaining and configuring needed setups of different systems used to run supply chain operationsProvide functional support on key systems capabilities and how to optimize related configurations and processAct as super user for different applications and support business owners in training and business acceptance testingSupport domain architects to capturing Supply Chain key components for the different layers (Business, Data, Application, Technology)","Bachelors or Masters Degree in computer science, software engineering, computer engineering or equivalent.4-6 Years experience in Oracle Supply Chain Technologies (Fusion, WMS, OFS, OFSC, OTM)",Supply chain processesSystems administrations and configurationProcess ModelingProcess Reengineering,"Work with technical and business team to understand supply chain processes of different clients and service providers and provide needed mapping to different technical solutions used to enable ultimate supply chain setup. Also will work in implementing new acquired business and system functionalitiesResponsibilitiesAnalyze, Design, and map Supply Chain processes across different applications such Oracle WMS (Logfire), Oracle OTM, Oracle Service Cloud, Oracle Field Service Cloud, Oracle Transport Management, and ot",Permanent
Microsoft,https://eg.indeed.com/cmp/Microsoft?campaignid=mobvjcmp&from=mobviewjob&tk=1hip5tvf5jkkq800&fromjk=b1f10f256fcdd995,data science,Cairo,Data Scientist/Applied Scientist,"Collaborate with cross-functional teams to design, develop, and implement recommendation algorithms to drive content consumption for publishing partners.Optimize existing recommendation algorithms by analyzing performance metrics and user feedback, incorporating advanced machine learning techniques including generative AI techniques.","Analyze large datasets to identify patterns, trends, and content performance to improve the relevance and quality of our recommendation systems.Build predictive models using machine learning algorithms and statistical techniques to optimize content recommendations for various user segments.","Bachelor's or Master's degree in Computer Science, Statistics, Data Science, or a related field.","Microsoft Start serves personalized, engaging and diverse news and interests content to millions of customers on Windows and Edge surfaces. We want to build the world’s best content ecosystem by acquiring content from a variety of content sources. We are constantly looking to understand our content partners, their content and user engagement trends to make the right investments in growing our content corpus in a relevant direction.ResponsibilitiesAs a Data Scientist/Applied Scientist focusing on recommendation systems, you will play a pivotal role in enhancing and optimizing our recommendation algorithms within our content ecosystem. Your primary responsibilities will include:1. Algorithm Development and Enhancement:Collaborate with cross-functional teams to design, develop, and implement recommendation algorithms to drive content consumption for publishing partners.Optimize existing recommendation algorithms by analyzing performance metrics and user feedback, incorporating advanced machine learning techniques including generative AI techniques.2. Data Analysis and Modeling:Analyze large datasets to identify patterns, trends, and content performance to improve the relevance and quality of our recommendation systems.Build predictive models using machine learning algorithms and statistical techniques to optimize content recommendations for various user segments.3. Experimentation and A/B Testing:· Design and conduct A/B tests to evaluate the performance of recommendation algorithms and propose iterative improvements based on the results. · Utilize experimentation results to iterate and fine-tune models, ensuring continuous improvement and impact on key business metrics.4. Collaboration and Communication:· Work closely with product managers, engineers, and other stakeholders to understand business requirements and translate them into actionable data science initiatives. · Communicate findings, insights, and recommendations to both technical and non-technical stakeholders effectively, enabling informed decision-making.QualificationsBachelor's or Master's degree in Computer Science, Statistics, Data Science, or a related field.2-3 years of relevant work experience in data science, machine learning, or applied science, with a focus on recommendation systems.Strong programming skills in Python and experience with other programming languages like C#, C++ is a plus.Solid understanding of machine learning algorithms, generative AI technologies, statis",Full-time
CompactSoft,https://eg.indeed.com/cmp/Compactsoft?campaignid=mobvjcmp&from=mobviewjob&tk=1hip5u3bskj9b801&fromjk=4ce151dd26c29995,data science,Heliopolis,Senior ERP Technical Consultant (Microsoft Dynamics AX),Hard worker,Ability to work under stress,Self motivated,General Requirements:Hard workerAbility to work under stressSelf motivatedDedicatedWell organizedAbility to ,Full-time
PwC,https://eg.indeed.com/cmp/Pwc?campaignid=mobvjcmp&from=mobviewjob&tk=1hip5uhuciemi800&fromjk=93e877c4a466bd3e,data science,Cairo,ETIC,"PowerBI, Tableau, QlikSense, Looker, Foundry or equivalentSQL, PowerQuery; Alteryx or equivalentMinimum 3 years of experience as Dashboards and Reports developer using Power BI or equivalent BI toolMinimum 2 years of experience with the following tools: Azure Data Platform tools, SQL DB, and Power BIAcquiring data and transforming it for reporting in PowerBI and PowerQueryCreating calculated, restricted and derived measures in PowerQuery and PowerBI, as well as understanding when to use which approachCreating appealing and insightful visualizations and interactive reports, filters in Power BI using information design principlesCreation of relational data models based on reporting requirements and raw base dataStandard approaches for data cleansing and to ensuring data qualityIdentification and definition of rules within an ETL process to harmonize, aggregate, filter and transform data so that it can be used for defined reporting goalsUnderstanding of statistical modelling, machine learning, or data mining, text mining concepts and a track record of solving problems with these methods to deliver rapid business insightProven programming experience in one of Python, R, Go, SQL or similarProven experience using ExcelStrong business acumen in relation to analytics, having had experience within at least one business area function (e.g marketing, sales, finance, workforce, procurement etc.)Proven experience in requirements gathering and translationExtensive experience in handling large, complex data setsAnalysis of business functionality and needs; translating them into technical requirements and solution designsExcellent communication, relationship skills and a strong team playerProven ability to transfer technical knowledge to clients and colleaguesPassionate about analytics and insight, including staying up-to-date with the latest trends and technologies","Enhancing PowerBI reports with row-level security and configuring this functionalityData Analysis Expressions (DAX)Creating advanced data processing workflows in Alteryx, with skills in the tool categories not mentioned above (e.g. Predictive, Prescriptive, Spatial, Demographic Analysis)Publishing of workflows to Alteryx Server and scheduling workflowsCreating Alteryx MacrosCreating SnapLogic pipelinesWorking with DataBricks",Microsoft Power BI Certification is neededTableau Certification is a plusCelonis certification is a plusAlteryx Certification is a plus,"Line of ServiceAdvisoryIndustry/SectorTechnologySpecialismAdvisory - OtherManagement LevelSenior AssociateJob Description & SummaryA career within Data and Analytics services will provide you with the opportunity to help organisations uncover enterprise insights and drive business results using smarter data analytics. We focus on a collection of organisational technology capabilities, including business intelligence, data management, and data assurance that help our clients drive innovation, growth, and change within their organisations in order to keep up with the changing nature of customers and technology. We make impactful decisions by mixing mind and machine to leverage data, understand and navigate risk, and help our clients gain a competitive edge.You’ll be joining our Data engineering, Reporting and Analytics practice, a core part of our Technology, Data & Analytics business unit. We support our clients in delivering a variety of transformation projects across the commercial sector from defining data strategies to helping architect, design and implement modern data and analytics solutions using the latest cloud technologies.The role will provide you with an opportunity to work across a portfolio of clients, with a focus on large and complex organisations.You will work in the team that reports to the Data Analytics delivery service leadership team and will be an integral part of the team based in Cairo, as well as those delivering client transformation programmes across the PwC Global Network, including the UK, Germany and Middle East.Essential skills & attributes:+4 years of experience in a reporting and analytics role, extensive experience in reporting & analytics tools including:PowerBI, Tableau, QlikSense, Looker, Foundry or equivalentSQL, PowerQuery; Alteryx or equivalentMinimum 3 years of experience as Dashboards and Reports developer using Power BI or equivalent BI toolMinimum 2 years of experience with the following tools: Azure Data Platform tools, SQL DB, and Power BIAcquiring data and transforming it for reporting in PowerBI and PowerQueryCreating calculated, restricted and derived measures in PowerQuery and PowerBI, as well as understanding when to use which approachCreating appealing and insightful visualizations and interactive reports, filters in Power BI using info",Full-time
Danone,https://eg.indeed.com/cmp/Danone?campaignid=mobvjcmp&from=mobviewjob&tk=1hip5ulp8jtvk801&fromjk=243d28608f65f598,data science,Cairo,Brand Manager ,Strengthen and develop brand positioning and marketing mix strategy. Develop relevant communication tools for the respective TA/Brands.,"Monitor market trends and competitors’ activities to identify opportunities, Key Business & Growth drivers","Set out strategic marketing direction for his/her brand(s) and manage the operational process in delivering it- Lead the implementation of the different marketing strategies with clear KPIs.To Map and Manage the KOLs related to his/her area of focus. Meet them regularly to get feedback, data, market trends and validate the different communication materials/campaigns/Messages.Work Closely with the digital marketing & Consumer Marketing teams to define the consumer and HCP digital strategies/ Road map for the relevant brands and the implementation of MCE methodology in our campaigns.Develop a plan for a pipeline of new launches for the coming 3 years and submit it regularly in the IRO process (LIM) and provide a regular update on the status in the LIM and through the regular category updatesWork closely with the commercial excellence & country local marketing teams (Marketing Activation) to ensure and measure a proper execution of the medical activities, and proper use of the marketing material by sales forcesEnsure compliance of all medical activities and marketing material with local regulations","About the jobDanone MENA is looking for a talentedBrand Manager - Disease Specific AdultNutritionto be based in Cairo, Egypt like you!In the context of Specialized Nutrition Mena, you will be responsible to build, lead and manage the Adult Category (Disease Specific Adult Nutrition) in the MENA Region. The job scope is mainly designed to serve the Danone Specialized Nutrition business to manage strategically, tactically and operationally the marketing activities for specific products in order to achieve the company’s vision, desired sales, market share, brand results, objectives and brand image.Key Accountabilities:A-Strategy and Brand Plans Development:Strengthen and develop brand positioning and marketing mix strategy. Develop relevant communication tools for the respective TA/Brands.Monitor market trends and competitors’ activities to identify opportunities, Key Business & Growth driversSet out strategic marketing direction for his/her brand(s) and manage the operational process in delivering it- Lead the implementation of the different marketing strategies with clear KPIs.To Map and Manage the KOLs related to his/her area of focus. Meet them regularly to get feedback, data, market trends and validate the different communication materials/campaigns/Messages.Work Closely with the digital marketing & Consumer Marketing teams to define the consumer and HCP digital strategies/ Road map for the relevant brands and the implementation of MCE methodology in our campaigns.Develop a plan for a pipeline of new launches for the coming 3 years and submit it regularly in the IRO process (LIM) and provide a regular update on the status in the LIM and through the regular category updatesWork closely with the commercial excellence & country local marketing teams (Marketing Activation) to ensure and measure a proper execution of the medical activities, and proper use of the marketing material by sales forcesEnsure compliance of all medical activities and marketing material with local regulationsB-Execution and Monitoring:Measure and report p",Full-time
CLS Learning Solutions,https://eg.indeed.com/cmp/Cls-Learning-Solutions?campaignid=mobvjcmp&from=mobviewjob&tk=1hip5uphs2iea000&fromjk=8ce94edf86e071c2,data science,مصر,Tech Experienced Instructors,Job Type:Part TimeLanguage:EnglishLocation:Online and Offline,"Data Analysis and Visualization PowerBI and TableauMicrosoft SQL Server develpment and BISQL TuningData Science, Machine Learning and AIBig Data Hadoop ,…IOT and RoboticsSoftware Development [ Node JS, ASP, PHP ,…. ]Agile AnalysisFlutterMicrosoft Azure [ All Tracks ]Microsoft System CenterCyber SecurityCEH Certified InstructorCPENT Certified InstructorDevops ToolsOpen ShiftMicrosoft OfficeLean six Sigma",Full day Training: 9 AM to 5 PMHalf Day Training: 6 PM to 10 PM,"Job RequirementsJob Type:Part TimeLanguage:EnglishLocation:Online and OfflineJob OverviewWe have a High demand forExperienced Instructorsin the following Specializations:Data Analysis and Visualization PowerBI and TableauMicrosoft SQL Server develpment and BISQL TuningData Science, Machine Learning and AIBig Data Hadoop ,…IOT and RoboticsSoftware Development [ Node JS, ASP, PHP ,…. ]Agile AnalysisFlutterMicrosoft Azure [ All Tracks ]Microsoft System CenterCyber SecurityCEH Certified InstructorCPENT Certified InstructorDevops ToolsOpen Shif",Part-time
Integrant,https://eg.indeed.com/cmp/Integrant?campaignid=mobvjcmp&from=mobviewjob&tk=1hip5utevj6e8800&fromjk=13836265f55914ee,data science,Cairo,Principal Data Scientist,"Use mathematics, statistics and computer science to extract knowledge and insights from structured, semi-structured and unstructured data in order to assist our clientele to make better data driven decisions.Conduct open research when necessary to develop new algorithms and methods to address specific needs a client might have to which no known algorithms or methods could suffice as a solution.Engage in activities of requirement elicitation with our clientele in regards to potential data science workloads.Mentor junior members on the team in data science.Deliver machine learning models to clients and contribute in knowledge transfer.","6+ years of experience with Data Science workloads.MSc in Computer Science or other equivalent quantitative field.Familiarity with classification, clustering, regression and association rule mining.Familiarity with one or more standard open source machine learning frameworks (Sklearn, Tensorflow, Keras, etc.).Familiarity with Azure Cognitive Services and Azure ML.Familiarity with AWS SageMaker.Experience with deploying models to production.Experience with monitoring models post production and detecting concept drift.Familiarity with Deep Learning.Extensive experience with Python.Familiarity with conducting open scientific research.",Familiarity with Re-enforcement Learning.Familiarity with Stochastic Local Search Methods.Familiarity with MLOps on Azure.Familiarity with MLOps on AWS.Familiarity with building data pipelines on Azure.Familiarity with building data pipelines on AWS.Familiarity with single and multi-objective optimization techniques,"We Are Hiring!Integrant is looking for game changers to join our team as ""Principal - Data Scientist"" with below roles and responsibilities:Use mathematics, statistics and ",Full-time
Wego Pte Ltd,https://eg.indeed.com/cmp/Wego-Pte-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1hip5v1b8issp802&fromjk=f2def68154a5e063,data science,Cairo,Senior Product Manager ,"Customer Support Partner: Work closely with the customer support team & back office teams by joining calls to understand their problems intimately and validate potential solutionsDesign-Led & Customer-Led Product Development: Partner with product design and engineering to quickly research, design, and build features, using quick iterations and frequent validation to confidently deliver features to market.Build for Humans: Deeply empathize and understand customer personas from Wego’s end users, to customer support teams, to operations, and consider the various personas when designing and prioritizing product features/fixes on our back office & other service toolsConversational Products: Experience in building/integrating/supporting conversational products like Drift, Freshchat, etc.Process & Customer Journey Mapping: Develop & refine “as-is” and “to-be” process flow maps on how Wego supports our customers, and matching that with our “to-be” customer’s journeyTechnical Product Management: Assist in driving the technical part of the impacted Wego product suite involving integrations, APIs, and technical product features. Be able to discuss details and tradeoffs with engineers while keeping the focus on the customer experience, internal personas and larger business.Customer Experience Product Strategy: Develop and refine the product vision and strategy for our product offerings in the full lifecycle of our users experience, in alignment with the company's overall objectives. Identify new market opportunities and design innovative products to address the specific needs identifiedProduct Development: Lead end-to-end product development, from ideation to execution, ensuring that your products are developed with a customer-centric approach. Collaborate with engineering, design, and data science teams to build scalable and robust solutions.Research & Market Analysis: Conduct thorough market research and competitor analysis to understand industry trends (i.e. Gen AI) and emerging needs. Use data-driven insights (internal & external data) to inform product decisions and prioritize features.Stakeholder Management: Partner closely with internal and external stakeholders to understand their problems, jobs to be done, and craft solutions to align on product priorities tied to their team’s objectivesPartner Collaboration: Work closely with internal & external partners to gather feedback, understand pain points, and identify areas for product improvement. Cultivate strong relationships with partners to ensure alignment and successful product implementation.Product Roadmap: Define and communicate your product roadmap, setting clear priorities and timelines. Collaborate with stakeholders across the organization to ensure alignment and timely delivery.Performance Metrics: Establish and monitor key performance metrics for your products. Use data analytics to measure product success, identify areas for optimization, and drive continuous improvement.Cross-Functional Collaboration: Work closely with customer support, back office, operations, sales, marketing, and other cross functional teams to ensure effective go-to-market strategies, successful product launches, and superior customer satisfaction.Risk Management: Proactively identify potential risks related to your products and devise mitigation plans to address them effectively.","Exceptional leadership and team management skills.Extensive experience in product development, design, UX research, engineeringData/Evidence/Logic-Drive/Analytical capabilitiesFirst Principles & Systems Thinking, Growth Mindset, Ownership MentalityDemonstrated success in leading and delivering consumer-facing digital products at scale.Proven experience in leading & scaling product management in organisationsStrong use of data analytics, market research, and user insights to drive product decisions.Excellent communication, negotiation, and interpersonal abilities.Ability to thrive in a fast-paced, dynamic environment and adapt to changing market conditions.","Bachelor's degree in Business, Marketing, Computer Science, or a related field. MBA or advanced degree is a plus.Experience delivering similar products/experiences from newer gen customer success tech companies like Drift","About Wego:We’re on a mission to help people discover the real value of travel — to inspire, to give more reasons, to make it easy — for you to travel. Our company was founded back in 2005, and since then, we’ve imagined and created some of the most well-loved products for travelers all around the world.Today, Wego is the number 1 travel metasearch engine in the Middle East. There are millions of users on Wego every month — people who travel for adventure, for work, for family and for many other reasons. That’s why we work tirelessly to make your experience of planning & booking flights, hotels and trips as seamless as possible.Role Overview:As the product manager focusing on customer experience, service tools and process improvement, you will be instrumental in driving our user growth & retention. You will lead the product strategy, development, and execution for our customer experience interface, internal service tools, and operational flows. This role requires a strategic and innovative thinker who can collaborate effectively with cross-functional teams, possess a strong understanding of customer conversational & customer support technologies to deliver top-notch products that meet the unique needs of Wego’s users.Location:Cairo (willing to hear from stand out candidates in other Wego Locations)What you will be doing:Customer Support Partner: Work closely with the c",Permanent
American Academy for Training Courses,https://eg.indeed.com/cmp/American-Academy-For-Training-Courses?campaignid=mobvjcmp&from=mobviewjob&tk=1hip5v806isvj800&fromjk=a6caf6e14287f77c,data science,6th of October City,Science Supervisor,"Develops best teaching practices by collaborating with teachers and professionals.Organize and implement a system for the evaluation and selection of equipment and instructional materials that are designed to meet the Curriculum Content Stands.Directly manage, mentor science teachers.Collect and analyze data regarding the performance and experiences of all children.",Bsc degree related to the subjectFrom 8-10 years of experienceFluent EnglishExcellent computer skills,,Location: 6 OctoberAbout the job:Science supervisorKnowledge International school Is hiring Science supervisor with experience in International SchoolsJob description:Develops best tea,Full-time
BI-Technologies,https://eg.indeed.com/cmp/Bi--technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1hip5vcgk2eh5001&fromjk=157c98df2ebfecbd,data science,Cairo,Professional Services,Perform business requirements analysis as part of the development of strategic information systems strategies,Perform gap analysis between existing ERP software functionality and client's requirements,Be part of a project team through design workshops and Conference Room Pilot environments,ERP Application consultantJob Requirements:Perform business requirements analysis as part of the development of strategic information systems strategiesPerform gap analysis between,Full-time
Novartis,https://eg.indeed.com/cmp/Novartis?campaignid=mobvjcmp&from=mobviewjob&tk=1hip5vkbqkcrc800&fromjk=d5c1d8ad79182e20,data science,Cairo,Record to Report Specialist (R2R).,"Work with direct managers to support financial activities, decision making and general projects.Provide timely, proactive support on the general ledger.Maintain accurate and timely fixed asset information in the fixed asset register including assets under construction and depreciation calculations.Prepare analysis or reporting with particular emphasis on accuracy, compliance and timeliness of data provided (i.e.: reports on profit and loss activity).Provide all data needed for internal (Financial Consolidation and Reporting System) and external reporting (including statutory accounts, national statistics and tax information) in a timely and accurate manner.Provides ‘first line support’ on SAP issues including fixed assets, cash and general ledger.Contribute to key projects at country or BU level.Reporting of technical complaints / adverse events / special case scenarios related to Novartis products within 24 hours of receipt -Distribution of marketing samples (where applicable)","6+ years of relevant Accounting experience in Multinational Companies.Bachelor’s degree in Accounting, Finance or equivalent.Experience in the Pharmaceutical Industry is a plus.English language proficiency.Experience using systems is a must, SAP or Oracle is a plus.",,"375642BRRecord to Report Specialist (R2R).EgyptAbout the roleAbout 108,000 people of more than 140 nationalities working at Novartis around the world are committed to improve and extend people’s lives. Novartis products reach nearly 800 million people globally, and we are finding innovative ways to expand access to our latest treatments.Your Responsibilities:Your responsibilities include, but not limited to:Work with direct managers to support financial activities, decision making and general projects.Provide timely, proactive support on the general ledger.Maintain accurate and timely fixed asset information in the fixed asset register including assets under construction and depreciation calculations.Prepare analysis or reporting with particular emphasis on accuracy, compliance and timeliness of data provided (i.e.: reports on profit and loss activity).Provide all data needed for internal (Financial Consolidation and Reporting System) and external reporting (including statutory accounts, national statistics and tax information) in a timely and accurate manner.Provides ‘first line support’ on SAP issues including fixed assets, cash and general ledger.Contribute to key projects at country or BU level.Reporting of technical complaints / adverse events / special case scenarios related to Novartis products within 24 hours of receipt -Distribution of marketing samples (where applicable)Commitment to Diversity & Inclusion:We are committed to building an outstanding, inclusive work environment and diverse teams representative of the patients and communities we serve.Role RequirementsWhat you’ll bring to the role:6+ years of relevant Accounting experience in Multinational Companies.Bachelor’s degree in Accounting, Finance or equivalent.Experience in the Pharmaceutical Industry is a plus.English language proficiency.Experience using systems is a must, SA",Full-time
Integrated Technology Group,https://eg.indeed.com/cmp/Integrated-Technology-Group?campaignid=mobvjcmp&from=mobviewjob&tk=1hip5vofni82p802&fromjk=6ec70933cdcbd288,data science,Cairo,IT Project Manager (Amman – Jordan),"Provides leadership to multi-disciplinary teams, as well as manages work of outside project consultants/contractors;Manage the day-to-day activities of the project team while adhering to the company’s overall project management methodology as defined by the PMO;Develops project plans which identify key issues, problems, approaches, performance metrics, and resources required;","Design processes to address identified problems;Provides effective communication regarding status, issues, objectives, dependencies, risks, and plan execution to stakeholders;Manages and tracks schedules and issues, negotiates priorities against project plans to ensure key internal and external deliverables are met;Works with the department managers to establish team membership and negotiate time commitments and resource allocation;Motivates team members and plans/facilitates team meetings acts as a warden, problem solver, and facilitator;","Actively participates in business development and relationship management activities including meeting with current/ potential clients, presenting/discussing solutions, responding to RFPs, gathering/sharing situational data, and identifying potential business opportunities;Accountable for the development of project documentation for senior executives and other key clients to facilitate the sharing of project outcomes and best practices;Establishes effective professional business relationships with all levels of management. Instructs and educates on all aspects of the project;Makes formal presentations to various senior-level audiences. Establishes procedures regarding the implementation of project outcomes.Coordinate and schedule deployments into non-production and production environments. Account for all business priorities when scheduling project releases;","ITG is looking for a Project Manager, in Amman, Jordan. The candidate for this vacancy should be responsible for leading projects to success on time, within budget, and with quality completion starting from the definition phase. Ensure that the project's objectives are met by driving the day-to-day execution across multiple functional/organizational teams. Set the strategic direction of projects and develop project plans. Provide high-quality and cost-effective project management and apply risk & action management as necessary to mitigate issues/risks through effective and proactive planning and actions.Responsibilities:Provides leadership to multi-disciplinary teams, as well as manages work of outside project consultants/contractors;Manage the day-to-day activities of the project team whil",Full-time
