job_title,job_link,label,company_name,city_name,post_time,country_name,job_type,Experience Needed:,Career Level:,Education Level:,Salary:,job_description,job_requirements,Gender:
Flutter Mobile Developer - Kuwait - Remotely,https://wuzzuf.net/jobs/p/YpRgGs5bTO5m-Flutter-Mobile-Developer---Kuwait---Remotely-Alexandria-For-Programming-Riyadh-Saudi-Arabia,mobile app,Alexandria For Programming ,Riyadh,29 daysago,Saudi Arabia,Full Time,More than 3 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,"Create well designed, testable, efficient code .Participate in all phases of the development life-cycle .Assist in the preparation and production of releases of software components .Ensure the performance, quality, and responsiveness of applications. .Develop customer-specific solutions and extend our own track & trace software Products .Use CI/CD for smooth deployment. .Document the project and code efficiently. .Manage the code and project on Git in order to keep in sync with other team members and managers. .Ensure security guidelines are always followed while developing the app. .Resolve all the bugs reported by the Quality Assurance Specialist in a timely manner.","3+ years of experience working with flutter mobile developmentBSc in Computer Science or Engineering or a related subject.Experience with third-party libraries and APIs.Fully understand agile terminologies and practices.Experience with offline storage, threading, and performance tuningBS/MS degree in Computer Science, Engineering, or a related subject.Familiarity with code versioning tools.Solid understanding of mobile application design patterns.Have experience with Flutter for both iOS and Android.Proficient understanding of code versioning tools, such as Git.Has been involved in at least 5 Flutter App projectAbility to understand business requirements and translate them into technical requirements.Experience connecting/calling RESTful services.Able to learn new technologies and techniques.Nice To Have:Backend programming languages like (PHP laravel).",
Technical Lead,https://wuzzuf.net/jobs/p/GrETgg2xxl3h-Technical-Lead-Aman-Giza-Egypt,mobile app,Aman ,6th of October,1 monthago,Egypt,Full Time,4 to 10 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,"Lead development of features, experiments, technical projects, and complex systems .Be a technical architect, leader, with hands-on experience towards the right technology. .Translate application storyboards and use cases into functional applications. .Design, build, and maintain efficient, reusable, and reliable code. .Continue to evolve our products and systems architecture and improve our software. .Ensure the best possible performance, quality, and responsiveness of applications. .Help maintain code quality, organization, and automatization. .Develop documentation throughout the software development life cycle.","RequirementsBachelor’s degree in computer science, engineering, or any related discipline5+ years proven experience in Software Development with successful showcase projects.Must have excellent experience (5+ years) developing mobile & web applications in client-side frameworks such as React, Angular, Vue JSMust have experience developing performance-critical applications that run in a production environment using backend languages/frameworks such as Python , or NodeJS and (value added: Java, Scala)Working experience with agile, analytics, A/B testing, GIT Flow is important.Excellent HTML/CSS & JavaScript skills are preferred.Expert level in modern mobile and server coding and design practices. For example, Clean Code, VIPER, MVVM, MVP, SOLID principles, and TDDSolid knowledge of server technologies, databases, distributed systems, load balancing; Docker and Kubernetes experience preferred.",
Software Tester - Mobile Applications,https://wuzzuf.net/jobs/p/nWcKyy4H71bO-Software-Tester---Mobile-Applications-Cairo-Egypt,mobile app,Confidential ,Cairo,28 daysago,Egypt,Full Time,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,"Conduct comprehensive testing of mobile applications on different devices and operating systems. .Design test plans, scenarios, scripts, or procedures. .Identify, document, and track bugs to ensure a seamless user experience. .Collaborate with developers to troubleshoot and resolve issues promptly. .Write and execute test cases and scenarios to validate app functionality and performance. .Stay updated on industry best practices and emerging mobile technologies•","BSc/BA in Computer Science, Engineering or a related field3 years of experience as a Software Tester or similar roleAbility to document and troubleshoot errors",
Senior Software Developer – Mobile Cross Platform (React Native),https://wuzzuf.net/jobs/p/E6wRq3ptnAZQ-Senior-Software-Developer-–-Mobile-Cross-Platform-React-Native-Masria-Digital-Payment-MDP-Cairo-Egypt,mobile app,Masria Digital Payment (MDP) ,New Cairo,1 monthago,Egypt,Full Time,3 to 6 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,"- Maintain overall responsibility for mobile application development and deployment. .- Participate in peer code reviews and conduct code reviews at various stages in the development process. .- Use full SDLC process to define and implement mobile applications from start to finish: planning, analysis, development, documentation, testing, quality assurance mediation, product support, etc. .- Ensure the best possible performance, quality, and responsiveness of the application. .- Ability to connect mobile applications to web service oriented backend solutions (RESTful web services, Soap, etc.). .- Development experience with mobile hardware/sensors, such as gyroscopes, GPS, accelerometers, NFC, Bluetooth, Audio/Video, etc. .- Ability to understand business requirements and translate them into technical requirements. .- Familiarity with cloud message APIs and push notifications. .- Good knowledge of the Apple App Store, Google Play Store and the entire mobile store life cycle including store policies, publishing, deployments. .- Maintains technical knowledge and understanding of the latest software methodologies and best practices by participating in educational opportunities.","-  A solid grasp of Java SE and OOP principals- Strong knowledge of cross-platform mobile development.- Deep understanding of React.js and its core principles.- Good Knowledge in building cross platform native applications with React Native Framework.- Strong knowledge of mobile UI design principles and patterns.- Understanding of Google’s Android and Apple iOS design principles and interface guidelines.- A good understanding of SOAP and RESTAPI and services.- Experience with offline storage, threading, and performance tuning.- Ability to design applications around natural user interfaces, such as “touch”- Familiarity with the use of additional sensors, such as gyroscopes.- Familiarity with cloud message APIs and push notifications.- Familiarity with continuous integration.- A basic Knowledge in Code Profiling and Refactoring techniques.- Proficient understanding of code versioning tools, such as Git.- A basic understanding of test-driven development.- Passionate about new technologies and great user experience.- Agile methodology is preferred.",
React Native Mobile Developer,https://wuzzuf.net/jobs/p/T4uxJatqkkBy-React-Native-Mobile-Developer-GCSSD-Cairo-Egypt,mobile app,GCSSD ,Heliopolis,2 monthsago,Egypt,Freelance / Project,More than 4 years,Experienced (Non-Manager),Not Specified,10000 to 15000 EGP Per Month,"We are looking for a Mobile App Developer (Cross Platform - React Native) who will be responsible for developing flexible, high-performance and cross-platform mobile apps","4+ years of experience in the same fieldBSc in Computer Science or any relevant fieldExperience with React NativeAbility to prioritize well, communicate clearly, have a consistent track record of delivery and excellent programming skills.Work collaboratively with others to achieve goalsKnowledge of object-oriented programmingA command of native iOS and Android developmentUnderstanding of REST APIsConverting designs from PSDs into the codeGood understanding of programming basic and conceptsExperience with integrating APIsExperience with building and deploying to app storesExperience with ExpoExperience with AWS, JavaScript, Node.js, Express.js, GitHub, and Git Command line a plus",
Mobile Application Developer,https://wuzzuf.net/jobs/p/imwG9Nu7SVDp-Mobile-Application-Developer-Al-Arab-Group-Cairo-Egypt,mobile app,Al Arab Group ,Cairo,2 monthsago,Egypt,Full Time,5 to 10 years,Experienced (Non-Manager),Bachelor's Degree,18000 to 20000 SAR Per Month,Proven work experience as a Mobile developer .Demonstrable portfolio of released applications on the App store or the Android market .In-depth knowledge of at least one programming language like Swift and Java .Experience with third-party libraries and APIs .Familiarity with OOP design principles .Excellent analytical skills with a good problem-solving attitude .Ability to perform in a team environment .BSc degree in Computer Science or relevant field,All Over Egypt can Apply,
iOS Mobile Developer,https://wuzzuf.net/jobs/p/i3J5IabU0Bru-iOS-Mobile-Developer-qTech-Dakahlia-Egypt,mobile app,qTech.  ,Mansoura,2 monthsago,Egypt,Full Time,More than 2 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,"Work on our new iOS applications and improve the existing ones. .Work effectively in a team environment with other engineers, business, customer support, QC, and design teams. .Collaborate in the system design process for our new projects. .Always keep business requirements in mind. .Maintain a focus on quality and work iteratively to progress from good to better. .Write maintainable, performant, extendable, and reusable code that is easy to read and well-documented. .Plan for future tasks, estimate the implementation time and evaluate the edge cases. .Manage the enterprise apps delivering process to clients and upload builds to TestFlight for QC. .Work on reported bugs from QC and customer support teams. .Open to learning and going through new challenges","At least 1 year of professional experience.Bachelor’s degree in Engineering, Computer Science (or equivalent experience).Proficient in Swift, and UIKit.Knowledge of Objective C is a Plus.Strong knowledge of OOP and SOLID principles.Knowledge of MVVM Architecture pattern.Good debugging skills.Design patterns knowledge.Familiar with Clean Architecture and Clean Code principles.Reactive programming and Combine framework Knowledge are a huge Plus.",
Mobile Application Developer (Flutter),https://wuzzuf.net/jobs/p/Xq3PioQrWPii-Mobile-Application-Developer-Flutter-Erpplus5-Cairo-Egypt,mobile app,Erpplus5 ,Maadi,2 monthsago,Egypt,Full Time,2 to 4 years,Experienced (Non-Manager),Not Specified,Confidential,"Development of mobile/web front ends and cross-platform clients with online/offline functionality based on agreed-upon scope and requirements. .Develop intuitive and user-friendly cross-platform applications for mobile/tablet devices. .Rapidly build prototypes/simulations from mockups that can be directly implemented .Create clean interfaces and smooth interactions based on UI/UX designs and documentation for a range of devices, including mobiles, and tablets. .Create decoupled, interactive web/mobile UIs using JavaScript Frameworks (e.g. Angular, jQuery mobile, react-native, Cordova) .Perform cross-browser/device testing and optimization .Create and build cross-platform mobile applications using cross-platform SDKs. .API integration and testing .Code, analyze, and provide functional testing for (iOS / Android) applications. .Handle Software Support and Updates, patches, and bug fix .Deployment & publication to Apple, Play, and App Gallery stores","Solid understanding of the full mobile development life cycle.Experience with third-party libraries and APIsWorking knowledge of the general mobile landscape, architectures, trends, and emerging technologiesExperience working with remote data via REST and JSONExperience with offline storage, threading, and performance tuning. Strong knowledge of Android UI design principles, patterns, and best practicesFamiliarity with RESTful APIs to connect iOS applications to back-end servicesDeployment & publication to Apple, Play, and App Gallery storesFamiliarity with continuous integration.Experience in integration ERP Systems is a plus.OOPAbility to write clean codeExcellent knowledge of design patterns and object-oriented conceptFamiliarity with code versioning tools.Understanding of all API types",
Android Developer,https://wuzzuf.net/jobs/p/4xH8PAl2A3NY-Android-Developer-Dakahlia-Egypt,mobile app,Confidential ,Talkha,2 monthsago,Egypt,Full Time,3 to 5 years,"Senior Management (CEO, GM, Director, Head)",Not Specified,Confidential,"Design and build advanced applications for the Android platform .Collaborate with cross-functional teams to define, design, and ship new features .Work with outside data sources and APIs .Unit-test code for robustness, including edge cases, usability, and general reliability .Work on bug fixing and improving application performance .Continuously discover, evaluate, and implement new technologies to maximize development efficiency","BS/MS degree in Computer Science, Engineering or a related subjectProven software development experience and Android skills developmentProven working experience in Android app development andHave published at least one original Android appExperience with Android SDKExperience working with remote data via REST and JSONExperience with third-party libraries and APIsWorking knowledge of the general mobile landscape, architectures, trends, and emerging technologiesSolid understanding of the full mobile development life cycle.",
Senior Flutter Developer,https://wuzzuf.net/jobs/p/lVJEoFg36ljk-Senior-Flutter-Developer-Softec-Technologies-Cairo-Egypt,mobile app,Softec Technologies ,Maadi,12 hoursago,Egypt,Full Time,5 to 8 years,Experienced (Non-Manager),Not Specified,Confidential,"Develop and maintain mobile applications for iOS and Android devices using the Flutter framework. .Develop and maintain native iOS applications. .Architect, design, and implement business required functionalities. .Ensure the performance, quality, and responsiveness of applications. .Collaborate with other developers, designers, and product managers to deliver high-quality products. .Mentor and provide guidance to junior developers on the team. .Conducts code reviews and provides mentorship, sharing knowledge with team members to maintain high code quality standards. .Contribute to the continuous improvement of our mobile development processes. .Implement best practices for software development, including unit testing, code review, and continuous integration.","At least 5 years of experience in developing Flutter applications.Excellent understanding of OOP concepts.Strong knowledge of the Dart programming languages.Experience with developing and maintaining native iOS applications.Knowledge of Swift programming language.Experience with iOS and Flutter SDKs and frameworks.Solid understanding of mobile application design patterns.Solid understanding of the full mobile development life-cycle.Solid understanding of mobile UI/UX principles and best practices.Experience with RESTful APIs and JSON, to connect applications to back-end services.Experience with offline storage, threading, and performance tuning.Proficient understanding of code versioning tools.Excellent problem-solving and analytical skills.Experience in the publishing process of applications on the App Store.Good communication skills, verbal and written.",
Head of Technology-Development,https://wuzzuf.net/jobs/p/BwH82ge3tBat-Head-of-Technology-Development-Al-hakeema-Cairo-Egypt,mobile app,Al,Nasr City,7 daysago,Egypt,Full Time,10 to 12 years,"Senior Management (CEO, GM, Director, Head)",Bachelor's Degree,Confidential,"Define and articulate the product vision, strategy, and roadmap aligned with company objectives. .Collaborate with cross-functional teams to execute product initiatives. .Conduct market research and gather user feedback to guide product decisions. .Prioritise features based on user impact, technical feasibility, and business value. .Oversee front-end and back-end development, ensuring user-centric solutions. .Drive product launches, measure performance, and iterate based on data-driven insights. .Ensure transparent communication and alignment throughout the development cycle. .Lead and manage iOS and Android mobile app development teams. .Delegate tasks, monitor progress, and provide ongoing feedback. .Set technical standards and best practises for mobile app development. .Translate product requirements into technical specifications. .Oversee the development process, including code reviews, testing, and deployment. .Identify and mitigate potential technical risks and challenges. .Stay updated on mobile development technologies and trends. .Contribute to architectural decisions and technical discussions. .Ensure adherence to security best practises and relevant regulations. .Maintain clear documentation for technical architecture and development processes. .Communicate effectively with stakeholders, including the CIO and product managers.","10+ years of provenfull-stack product managementexperience.Strong technical background in front-end and back-end technologies.Excellent project management skills include leading cross-functional teams.Track record of delivering digital products from concept to launch.Data-driven decision-making and exceptional communication skills.Bachelor's degree in computer science or a related field.Experience in mobile app development (iOS and Android) with 5+ years.Proficiency in agile methodologies and project management tools.Strong analytical skills; familiarity with CI/CD pipelines and DevOps practises is a plus.Knowledge of secure coding practises, security frameworks, and financial APIs is advantageous.",Male
senior flutter developer,https://wuzzuf.net/jobs/p/SNIAiKRR9wet-senior-flutter-developer-Cairo-Egypt,mobile app,Confidential ,Heliopolis,10 daysago,Egypt,Full Time,More than 3 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Design and Build sophisticated and highly scalable apps using Flutter. .Build custom packages in Flutter using the functionalities and APIs already available in native Android and IOS. .Translate and Build the designs and Wireframes into high-quality responsive UI code. .Explore feasible architectures for implementing new features. .Resolve any problems existing in the system and suggest and add new features to the complete system. .Suggest space and time efficient Data Structures. .Follow the best practices while developing the app and also keeping everything structured and well documented. .Use CI/CD for smooth deployment. .Document the project and code efficiently. .Manage the code and project on Git in order to keep in sync with other team members and managers. .Ensure security guidelines are always followed while developing the app. .Consulting with our customer-facing representatives about software system design and maintenance. .Perform time profiling and memory leaks assessment. .Write tests for the App.,"3-8 years of professional experience as an app developer.Firebase: Should have experience with Cloud Firestore, Push Notifications, Cloud Functions, and Analytics.Git: To manage and collaborate on different projects with the rest ofAny Native Language knowledge to build custom Flutter Packages.Solid experience with commonly used 3rd party libraries and servicesExpert understanding of networking, local data caching, and multitasking on AndroidFamiliar with Material Design GuidelinesHungry for more responsibility and knowledgePassion for building robust systems that are engineered to handle failure scenarios, undying love and attitude for maintaining coding standardsHas a strong drive for producing quality software and makes sure issues are raised and resolved in a timely mannerHas good communication and planning skills for preparing for a release",
